question_id,question,question_title,image_url,tag_id
1,"Es gibt viel zu viel Armut auf der Welt. Das ist ein Problem, das mir besonders am Herzen liegt. Deshalb interessieren mich insbesondere Organisationen, die sich die Armutsbekämpfung zum Ziel gesetzt haben.",Armutsbekämpfung,question-images/kinder.jpg,1
2,"Niemand sollte hungrig sein müssen. Ich möchte Projekte unterstützen, die den Zugang zu Nahrung verbessern und nachhaltige Landwirtschaft fördern.",Hungersnot,question-images/klimawandel.jpg,2
3,"Ich finde es wichtig, dass alle Menschen Zugang zu medizinischer Versorgung und einem gesunden Lebensstil haben. Organisationen, die sich für Gesundheit und Wohlergehen einsetzen, interessieren mich besonders.",Gesundheit,question-images/kinder.jpg,3
4,"Bildung ist der Schlüssel zur Verbesserung von Lebensbedingungen. Ich interessiere mich für Organisationen, die Kindern und Erwachsenen den Zugang zu Bildung ermöglichen.",Hochwertige Bildung,question-images/artenvielfalt.jpg,4
5,"Es ist mir wichtig, dass Frauen und Mädchen die gleichen Rechte und Möglichkeiten haben wie Männer und Jungen. Ich unterstütze gerne Organisationen, die für Geschlechtergleichheit arbeiten.",Geschlechtergleichheit,question-images/kinder.jpg,5
6,"Zugang zu sauberem Wasser und angemessenen sanitären Einrichtungen sollte für jeden selbstverständlich sein. Ich schätze Organisationen, die in diesem Bereich tätig sind.",Sauberes Wasser und Sanitäreinrichtungen,question-images/kinder.jpg,6
7,Energie sollte für alle Menschen bezahlbar und nachhaltig sein. Projekte zur Förderung erneuerbarer Energien finde ich besonders unterstützenswert.,Saubere Energie,question-images/klimawandel.jpg,7
8,"Ich finde es wichtig, dass alle Menschen Zugang zu fairer Arbeit und sicheren Arbeitsbedingungen haben. Organisationen, die dies fördern, interessieren mich.",Menschenwürdige Arbeit,question-images/klimawandel.jpg,8
9,"Infrastrukturen und Technologien, die nachhaltig und inklusiv sind, finde ich sehr wichtig. Organisationen, die daran arbeiten, verdienen meine Unterstützung.","Industrie, Innovation, Infrastruktur",question-images/klimawandel.jpg,9
10,"Ungleichheit zwischen und innerhalb von Ländern ist ein großes Problem. Organisationen, die sich für Gerechtigkeit und Gleichheit einsetzen, sprechen mich an.",Ungleichheit,question-images/kinder.jpg,10
11,"Ich wünsche mir lebenswerte und nachhaltige Städte. Organisationen, die Stadtentwicklung oder sichere Wohnprojekte fördern, finde ich interessant.",Nachhaltige Gemeinden,question-images/klimawandel.jpg,11
12,"Nachhaltiger Konsum und verantwortungsbewusste Produktion sind mir wichtig. Organisationen, die dafür sensibilisieren oder Lösungen anbieten, interessieren mich.",Nachhaltige Produktion,question-images/klimawandel.jpg,12
13,"Der Klimawandel ist eines der größten Probleme unserer Zeit. Ich möchte Organisationen unterstützen, die Klimaschutzmaßnahmen ergreifen.",Klimaschutz,question-images/klimawandel.jpg,13
14,"Ozeane und Meere sollten geschützt werden. Ich unterstütze gerne Organisationen, die sich für den Erhalt der Unterwasserwelt einsetzen.",Schutz der Ozeane und Meere,question-images/artenvielfalt.jpg,14
15,"Der Schutz von Wäldern, Tieren und anderen Ökosystemen ist mir wichtig. Organisationen, die daran arbeiten, liegen mir am Herzen.",Schutz von Landökosystemen,question-images/artenvielfalt.jpg,15
16,"Ich wünsche mir eine friedliche Welt mit starken und fairen Institutionen. Organisationen, die dafür kämpfen, interessieren mich.",Frieden und Gerechtigkeit,question-images/kinder.jpg,16
17,"Es ist wichtig, dass Länder und Organisationen zusammenarbeiten, um globale Herausforderungen zu bewältigen. Ich schätze Projekte, die solche Partnerschaften fördern.",Globale Partnerschaften,question-images/kinder.jpg,17
